name,search_item,latitude,longitude,url,
Carter Road Mumbai,"IELTS Coaching or Tuition Institutes in Carter Road, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Church Gate Mumbai,"IELTS Coaching or Tuition Institutes in Church Gate, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Colaba Mumbai,"IELTS Coaching or Tuition Institutes in Colaba, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Cuffe Parade Mumbai,"IELTS Coaching or Tuition Institutes in Cuffe Parade, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Cumballa Hill Mumbai,"IELTS Coaching or Tuition Institutes in Cumballa Hill, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Fort Mumbai,"IELTS Coaching or Tuition Institutes in Fort, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Gulmohar Road Mumbai,"IELTS Coaching or Tuition Institutes in Gulmohar Road, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Haji Ali Mumbai,"IELTS Coaching or Tuition Institutes in Haji Ali, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Juhu Mumbai,"IELTS Coaching or Tuition Institutes in Juhu, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Juhu Tara Road Mumbai,"IELTS Coaching or Tuition Institutes in Juhu Tara Road, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
